GEM plant ID,Plant name (English),Owner,Parent (English),Country/area,Region,Latitude,Longitude,capacity_ttpa,n_operating_units,Plant age (years),Main production equipment
P100000120882,Aba Iron and Steel Payas plant,ABA Çelik Demir LŞ,ABA Çelik Demir LŞ [100.0%],Türkiye,Europe,36.747413,36.21733,1100.0,1,43.0,EAF
P100000120753,Abba Steel Ohangwena steel plant,Abba Steel Ltd,Abba Steel Ltd [100.0%],Namibia,Africa,-17.397866,15.891022,,0,1.0,EAF
P100000120802,Abinsk Electric Steel Works,Abinski Elektrometallurgicheski Zavod LLC,Novostal-M LLC [100.0%],Russia,Eurasia,44.881938,38.12751,1600.0,1,12.0,EAF
P100000120020,Abul Khair Steel Sitakunda plant,Abul Khair Steel Ltd,Abul Khair Ltd,Bangladesh,Asia Pacific,22.472008,91.734827,1400.0,1,11.0,EAF
P100000120620,Acciaierie d'Italia Taranto steel plant,Acciaierie d'italia SpA,Acciaierie d'italia SpA [100.0%],Italy,Europe,40.508993,17.207589,7800.0,1,61.0,DRI; EAF; BF; BOF
P100000120634,Acciaierie Venete Borgo Valsugana steel plant,Acciaierie Venete SpA,Acciaierie Venete SpA [100.0%],Italy,Europe,46.049182,11.440394,600.0,1,47.0,EAF
P100000120636,Acciaierie Venete Padua steel plant,Acciaierie Venete SpA,Acciaierie Venete SpA [100.0%],Italy,Europe,45.419168,11.906625,600.0,1,35.0,EAF
P100000120635,Acciaierie Venete Sarezzo steel plant,Acciaierie Venete SpA,Acciaierie Venete SpA [100.0%],Italy,Europe,45.648691,10.209114,540.0,1,59.0,EAF
P100000120005,Aceria Angola Bengo steel plant,Ada - Aceria De Angola SA,Sa Machado Lda,Angola,Africa,-8.5824,13.405271,500.0,1,11.0,IF
P100000121029,Acerinox Columbus Stainless steel plant,Columbus Stainless (Pty) Ltd,Acerinox SA [76.0%]; Industrial Development Corporation of South Africa Ltd [24.0%],South Africa,Africa,-25.796313,29.497972,850.0,1,60.0,EAF
P100000120454,Acerinox Europa Los Barrios steel plant,Acerinox Europa SAU,Acerinox SA [100.0%],Spain,Europe,36.181686,-5.426626,1200.0,1,56.0,EAF
P100000120768,Aceros Arequipa Pisco steel plant,Corporacion Aceros Arequipa SA,Corporacion Aceros Arequipa SA [100.0%],Peru,Central & South America,-13.788622,-76.168173,1250.0,1,39.0,EAF; DRI
P100001045296,Action Ispat and Power Jharsuguda steel plant,Action Ispat and Power Pvt Ltd,Action Ispat and Power Pvt Ltd [100.0%],India,Asia Pacific,21.839759,83.982227,375.0,1,,DRI; IF; Steel other/unspecified
P100001025815,Adhunik Metaliks Kuanrmunda steel plant,Adhunik Metaliks Ltd,natural person(s) [36.1%]; small shareholder(s) [28.8%]; Mahanada Suppliers Pvt Ltd [22.6%]; Sunrwoth Stocks Pvt Ltd [12.5%],India,Asia Pacific,22.308371,84.763584,500.0,1,22.81,BF; DRI; EAF
P100000120757,African Natural Resources and Mines Kaduna steel plant,African Natural Resources & Mines Ltd,African Industries Ltd,Nigeria,Africa,9.462715,7.368,0.0,1,1.45,DRI; Steel other/unspecified
P100000120624,AFV Accaierie Beltrame Vicenza steel plant,AFV Acciaierie Beltrame SpA,Beltrame Holding SpA [91.9%]; unknown [8.1%],Italy,Europe,45.522097,11.499295,1200.0,1,50.0,EAF
P100000121240,AFV Donalam Targoviste steel plant,Donalam SRL,Beltrame Holding SpA [86.1%]; unknown [7.6%],Romania,Europe,44.904569,25.458124,300.0,1,53.0,EAF
P100000120423,AG der Dillinger Hüttenwerke Dillingen steel plant,AG der Dillinger Hüttenwerke AG,Montan-Stiftung-Saar [50.9%]; ArcelorMittal SA [29.8%]; unknown [8.7%],Germany,Europe,49.353884,6.746603,2760.0,1,57.0,DRI; EAF; BF; BOF
P100000120494,AG Sidegua Masagua steel plant,Corporación AG SA,Fundacion Jose Luis Gabriel; Industrial Assets Fund LP,Guatemala,Central & South America,14.232007,-90.815444,500.0,1,32.0,EAF
P100000120782,Agha Steel Industries Karachi plant,Agha Steel Industries Ltd,Agha Steel Industries Ltd [100.0%],Pakistan,Asia Pacific,24.841851,67.310159,450.0,1,14.14,EAF; BF
P100000121224,Ahya Steel Folad Baft Company DRI plant,Ahya Steel Folad Baft Co,Bank of Industry and Mine (Iran); Tourism Financial Group,Iran,Middle East,29.289109,56.490707,0.0,1,7.0,DRI
P100000120644,Aichi Steel Chita plant (Tokai),Aichi Steel Corp,Aichi Steel Corp [100.0%],Japan,Asia Pacific,35.044558,136.900772,1495.0,1,83.0,EAF
P100000120756,Ajaokuta Steel plant,Ajaokuta Steel Co Ltd,Ajaokuta Steel Co Ltd [100.0%],Nigeria,Africa,7.511336,6.689364,,0,,BF; BOF
P100000121166,Aktobe Generatsiya steel plant,Aktobe Generatsiya LLC,Aktobe Generatsiya LLC [100.0%],Kazakhstan,Eurasia,50.355117,57.145119,,0,0.05,BF; BOF
P100000120840,Al Atoun Yanbu steel plant,Al Atoun Steel Industries,Al Atoun Steel Industries [100.0%],Saudi Arabia,Middle East,24.029,38.180077,,0,,EAF
P100000120835,Al Ittefaq Arab Steel Dammam plant,Arab Steel Co,Hilal Al-Tuwairqi [60.0%]; unknown [40.0%],Saudi Arabia,Middle East,26.277917,49.949177,2600.0,1,37.0,DRI; EAF
P100000120836,Al Ittefaq National Steel Dammam plant,National Steel Co,Hilal Al-Tuwairqi; unknown,Saudi Arabia,Middle East,26.244786,49.969064,1000.0,1,22.0,EAF
P100000121248,Al Qaryan steel plant,Al Qaryan Steel Co,Al Qaryan Group [75.0%]; Al Wabel for Trading and Industry [25.0%],Saudi Arabia,Middle East,26.280741,49.956755,350.0,1,9.0,IF; EAF
P100000120446,Al-Ezz Dekheila Steel Alexandria plant,Al Ezz Dekheila Steel Company Alexandria SAE,Al Ezz Dekheila Steel Company Alexandria SAE [100.0%],Egypt,Africa,31.123467,29.80987,3340.0,1,40.0,DRI; EAF
P100000120905,Alchevsk Metallurgical Plant,Alchevsk Metallurgical Plant PJSC,Southern Mining and Metallurgical Complex LLC,Ukraine,Europe,48.478111,38.770787,5472.0,1,130.0,BF; BOF
P100000120623,Alfa Acciai Brescia steel plant,Alfa Acciai SpA,Siderurgica Investimenti SRL,Italy,Europe,45.508698,10.248464,2000.0,1,71.0,EAF
P100000120637,Alfa Acciai Catania steel plant,Acciaierie di Sicilia SpA,Siderurgica Investimenti SRL,Italy,Europe,37.438448,15.03287,500.0,1,28.0,EAF
P100000120439,Algerian Qatari Steel Jijel plant,Algerian Qatari Steel,Industries Qatar QPSC [49.0%]; FNI - Fonds National d’Investissement [5.0%]; Groupe Industriel Sider SpA,Algeria,Africa,36.753961,6.24442,2100.0,1,9.0,DRI; EAF
P100000120059,Algoma steel plant,Algoma Steel Group Inc,Algoma Steel Group Inc [100.0%],Canada,North America,46.518984,-84.374068,1850.0,1,125.0,EAF; BF; BOF
P100000120750,Alliance Steel Kuantan plant,Alliance Steel (M) Sdn Bhd,Guangxi Beibu Gulf International Port Group Co Ltd [50.0%]; Guangxi Shenglong Metallurgical Co Ltd [50.0%],Malaysia,Asia Pacific,4.007595,103.344458,3500.0,1,9.0,BF; BOF; Iron other/unspecified; Steel other/unspecified
P100001063588,Alter Steel Pinkenba steel plant,Equest Steel Pty Ltd,Westview Group,Australia,Asia Pacific,-27.42083,153.127715,,0,,EAF
P100000120998,Alton Steel plant,Alton Steel Inc,Alton Steel Inc [100.0%],United States,North America,38.884465,-90.14579,,0,23.0,EAF
P100000120724,Altos Hornos De Mexico SA (AHMSA) steel plant,Altos Hornos de Mexico SAB de CV,Grupo Acerero del Norte SA de CV [64.0%]; small shareholder(s) [36.0%],Mexico,North America,26.876889,-101.416612,,0,82.0,BF; BOF; EAF
P100001064479,Amir Azerbaijan Steel plant,AFA Steel,AFA Steel [100.0%],Iran,Middle East,46.843697,46.843697,500.0,1,5.0,IF
P100000121247,Amirkabir Arak Steel plant,Amir Kabir Arak Steel Co,Amirkabir Khazar Steel Co,Iran,Middle East,34.083379,49.752451,,0,,DRI; EAF
P100000121232,Amreli Steels Dhabeji plant,Amreli Steels Ltd,Amreli Steels Ltd [100.0%],Pakistan,Asia Pacific,24.800326,67.504851,600.0,1,15.0,IF; Steel other/unspecified
P100000120803,Amurstal steel plant,Amurstal LLC,Armada JSC [100.0%],Russia,Eurasia,50.563131,136.976362,1150.0,1,84.0,EAF; DRI
P100000120163,Angang Group Xinyang Iron and Steel Co Ltd,"Xinyang Iron & Steel Co.,ltd of Angang Group",natural person(s) [65.2%]; Henan PROVINCE HENGCHANG Trading Co Ltd [15.8%]; unknown [10.4%]; Henan State Owned Capital Operation Group Co Ltd [8.6%],China,Asia Pacific,32.488704,114.038243,3600.0,1,55.0,BF; BOF
P100000120089,Angang Lianzhong Stainless Steel Co Ltd,Angang Lianzhong Stainless Steel Corp,Ansteel Group Co Ltd [60.0%]; Lianzhong Co Ltd [18.2%]; power rich Co Ltd [17.4%]; unknown [4.4%],China,Asia Pacific,23.126822,113.505817,1900.0,1,25.0,EAF
P100000120219,Angang Steel Co Ltd,Angang Steel Co Ltd,Angang Steel Co Ltd [100.0%],China,Asia Pacific,41.148267,122.983054,20650.0,1,27.43,BF; BOF; DRI
P100000120220,Angang Steel Co Ltd Bayuquan branch,Angang Steel Co Ltd,Angang Steel Co Ltd [100.0%],China,Asia Pacific,40.308494,122.13079,7500.0,1,20.0,BF; BOF
P100000120070,Anhui Changjiang Steel Co Ltd,Anhui Changjiang Steel Co Ltd,Maanshan Iron & Steel Co Ltd [55.0%]; natural person(s) [37.2%]; unknown [7.8%],China,Asia Pacific,31.502272,118.465162,3800.0,1,23.0,BF; BOF; EAF
P100000120071,Anhui Guihang Special Steel Co Ltd,Anhui Guihang Special Steel Co Ltd,Anhui Guihang Special Steel Co Ltd [100.0%],China,Asia Pacific,30.531068,117.251147,2700.0,1,15.89,BF; BOF
P100000120391,Anhui Jin an Stainless Steel Casting Co Ltd,Anhui Jin'an Stainless Steel Foundry Co Ltd,Anhui Xinda Steel Development Co Ltd [100.0%],China,Asia Pacific,31.763956,115.924372,500.0,1,4.0,EAF
P100000120417,Anhui Jingxian Longxin Iron and Steel Co Ltd,Anhui Jingxian Longxin Iron and Steel Co Ltd,Anhui Jingxian Longxin Iron and Steel Co Ltd [100.0%],China,Asia Pacific,30.709058,118.436638,500.0,1,18.0,EAF
P100000120402,Anhui Langxi Hongtai Iron and Steel Co Ltd,Anhui Langxi County Fuhang Steel Co Ltd,Anhui Langxi County Fuhang Steel Co Ltd [100.0%],China,Asia Pacific,31.246635,119.120443,1000.0,1,24.0,EAF
P100001025923,Anhui Lixin Special Steel Co Ltd,"Guangde Xinyuanda Metal Products Co., Ltd. Co Ltd","Guangde Xinyuanda Metal Products Co., Ltd. Co Ltd [100.0%]",China,Asia Pacific,31.0494162,119.5296269,500.0,1,14.24,EAF
P100000120313,Anhui Shoukuang Dachang Metal Material Co Ltd,Anhui Shoukuang Dachang Metal Material Co Ltd,CSCEC Rongdong Investment Holding Co Ltd [89.0%]; Fang TongZhou Holding Co Ltd [7.9%]; unknown [3.1%],China,Asia Pacific,32.329171,115.954963,3000.0,1,16.0,BF; BOF
P100000120748,Ann Joo Integrated Steel Penang plant,Ann Joo Integrated Steel Sdn Bhd,Ann Joo Resources Bhd [100.0%],Malaysia,Asia Pacific,5.380391,100.377598,900.0,1,19.0,BF; EAF
P100000120749,Ann Joo Steel Selangor plant,Ann Joo Steel Bhd,Ann Joo Resources Bhd [100.0%],Malaysia,Asia Pacific,3.042585,101.537011,820.0,1,65.0,EAF
P100000120231,Anshan Baode Iron and Steel Co Ltd,Anshan Baode Iron & Steel Co Ltd,Anshan Baode Iron & Steel Co Ltd [100.0%],China,Asia Pacific,41.173613,122.945501,1800.0,1,26.73,BF; BOF
P100000120509,Anshan Iron and Steel Central Sulawesi steel plant,Anshan Iron and Steel Group Co Ltd,Ansteel Group Co Ltd [100.0%],Indonesia,Asia Pacific,-4.244263,122.371221,,0,,BOF; Iron other/unspecified
P100000120221,Ansteel Group Chaoyang Steel and Iron Co Ltd,Angang Steel Co Ltd,Angang Steel Co Ltd [100.0%],China,Asia Pacific,41.528945,120.369983,2100.0,1,18.59,BF; BOF
P100000120170,Anyang Huixin Special Steel Co Ltd,Anyang Huixin Special Steel Co Ltd,"Henan Jingchang Coal Chemical Co Ltd [90.0%]; Henan Xinlei Group HOLDINGS Co Ltd [6.2%]; Henan LIYUAN Coking Group Co Ltd [1.3%]; Henan Shuncheng Group,coal Co Ltd [1.3%]; Henan Yulong Coking Co Ltd [1.3%]",China,Asia Pacific,36.152418,114.15839,,0,21.0,BF; BOF
P100000120160,Anyang Iron and Steel Co Ltd,Anyang Iron & Steel Co Ltd,Anyang Iron & Steel Co Ltd [100.0%],China,Asia Pacific,36.122129,114.283145,1300.0,2,68.0,BF; BOF; EAF
P100000120166,Anyang Xinpu Steel Co Ltd,Anyang Xinpu Steel Co Ltd,natural person(s) [49.0%]; Minyuan Iron and Steel Group Co Ltd [34.0%]; Fujian Mingfa Investment Co Ltd [17.0%],China,Asia Pacific,36.163203,114.296223,,0,20.41,BF; BOF
P100000120029,Aperam Stainless Belgium Châtelet steel plant,Aperam Stainless Belgium NV,Aperam SA [100.0%],Belgium,Europe,50.414998,4.532443,1000.0,1,50.0,EAF
P100000120028,Aperam Stainless Belgium Genk steel plant,Aperam Stainless Belgium NV,Aperam SA [100.0%],Belgium,Europe,50.933973,5.511494,1200.0,1,56.0,EAF
P100000120053,Aperam Timóteo steel plant,Aperam Inox America do Sul SA,Aperam SA,Brazil,Central & South America,-19.531272,-42.639979,900.0,1,77.0,BF; EAF
P100000121217,Arabian Gulf Steel Industries Abu Dhabi plant,Arabian Gulf Steel Industries Selling Port LLC,Arabian Gulf Steel Industries Selling Port LLC [100.0%],United Arab Emirates,Middle East,24.283335,54.463384,600.0,1,18.0,IF
P100000120006,ArcelorMittal Acindar Villa Constitución steel plant,Acindar Industria Argentina de Aceros SA,ArcelorMittal SA [100.0%],Argentina,Central & South America,-33.249936,-60.300415,2000.0,1,80.0,DRI; EAF
P100000120459,ArcelorMittal Asturias (Aviles) steel plant,ArcelorMittal España SA,ArcelorMittal SA [99.8%]; small shareholder(s) [0.2%],Spain,Europe,43.554741,-5.87259,4200.0,1,76.0,BOF
P100000120452,ArcelorMittal Asturias (Gijón) steel plant,ArcelorMittal España SA,ArcelorMittal SA [99.8%]; small shareholder(s) [0.2%],Spain,Europe,43.525092,-5.731926,1200.0,2,55.0,BOF; DRI; EAF; BF
P100000120050,ArcelorMittal Barra Mansa steel plant,ArcelorMittal Brasil SA,ArcelorMittal SA [97.1%]; small shareholder(s) [2.9%],Brazil,Central & South America,-22.525806,-44.191067,800.0,1,89.0,EAF
P100000120532,ArcelorMittal Bellary steel plant,ArcelorMittal SA,ArcelorMittal SA [100.0%],India,Asia Pacific,15.139498,76.918417,,0,,Iron other/unspecified; Steel other/unspecified
P100000120426,ArcelorMittal Bremen steel plant,ArcelorMittal Bremen GmbH,ArcelorMittal SA [100.0%],Germany,Europe,53.133305,8.688193,3960.0,1,69.0,BF; BOF; DRI; EAF
P100000120997,ArcelorMittal Calvert steel plant,AM/NS Calvert LLC,ArcelorMittal SA [100.0%],United States,North America,31.148446,-87.990521,1500.0,1,1.0,EAF
P100000120785,ArcelorMittal Dąbrowa Górnicza steel plant,ArcelorMittal Poland SA,ArcelorMittal SA [100.0%],Poland,Europe,50.342417,19.285037,5001.0,1,50.0,BF; BOF
P100000120714,ArcelorMittal Differdange steel plant,ArcelorMittal SA,ArcelorMittal SA [100.0%],Luxembourg,Europe,49.527966,5.900398,1350.0,1,130.0,EAF
P100000120058,ArcelorMittal Dofasco steel plant,ArcelorMittal Dofasco GP,ArcelorMittal SA [100.0%],Canada,North America,43.269255,-79.804858,4050.0,2,114.0,EAF; DRI; BF; BOF
P100000120428,ArcelorMittal Duisburg steel plant,ArcelorMittal Duisburg GmbH,ArcelorMittal SA [100.0%],Germany,Europe,51.462987,6.744612,1300.0,1,174.0,EAF; BOF
P100000120472,ArcelorMittal Dunkerque steel plant,ArcelorMittal Atlantique et Lorraine SAS,ArcelorMittal Atlantique et Lorraine SAS [100.0%],France,Europe,51.041274,2.292948,6750.0,1,63.0,BF; BOF; EAF; DRI
P100000120425,ArcelorMittal Eisenhüttenstadt steel plant,ArcelorMittal Eisenhüttenstadt GmbH,ArcelorMittal SA [100.0%],Germany,Europe,52.168649,14.623473,2400.0,1,76.0,BF; BOF; DRI; EAF
P100000120715,ArcelorMittal Esch-Belval steel plant,ArcelorMittal SA,ArcelorMittal SA [100.0%],Luxembourg,Europe,49.504175,5.993759,2250.0,2,115.0,EAF
P100000120475,ArcelorMittal Florange steel plant,ArcelorMittal Atlantique et Lorraine SAS,ArcelorMittal Atlantique et Lorraine SAS [100.0%],France,Europe,49.331722,6.143107,,0,112.0,BF; BOF
P100000120027,ArcelorMittal Gent steel plant,ArcelorMittal SA,ArcelorMittal SA [100.0%],Belgium,Europe,51.169929,3.804462,5200.0,1,60.0,BF; BOF; DRI; EAF
P100000120427,ArcelorMittal Hamburg steel plant,ArcelorMittal Hamburg GmbH,ArcelorMittal SA [100.0%],Germany,Europe,53.522601,9.900749,1100.0,1,57.0,DRI; EAF
P100000120045,ArcelorMittal Juiz de Fora steel plant,ArcelorMittal Brasil SA,ArcelorMittal SA [97.1%]; small shareholder(s) [2.9%],Brazil,Central & South America,-21.626963,-43.462361,1100.0,1,42.0,BF; EAF
P100000120786,ArcelorMittal Kraków steel plant,ArcelorMittal Poland SA,ArcelorMittal SA [100.0%],Poland,Europe,50.083849,20.096306,,0,66.0,BF; BOF
