GEM plant ID,Plant name (English),Owner,Parent (English),Country/area,Region,iso3,Latitude,Longitude,Plant age (years),capacity_ttpa,n_operating_units,Main production equipment,litpop_value_usd,litpop_sum_25km_usd,litpop_ncells_25km,litpop_cell_lat,litpop_cell_lon,match_distance_km
P100001045296,Action Ispat and Power Jharsuguda steel plant,Action Ispat and Power Pvt Ltd,Action Ispat and Power Pvt Ltd [100.0%],India,Asia Pacific,IND,21.839759,83.982227,,375.0,1,DRI; IF; Steel other/unspecified,645075019.3542067,6421397393.391681,26,21.875,83.95833333,4.6299161934723285
P100001025815,Adhunik Metaliks Kuanrmunda steel plant,Adhunik Metaliks Ltd,natural person(s) [36.1%]; small shareholder(s) [28.8%]; Mahanada Suppliers Pvt Ltd [22.6%]; Sunrwoth Stocks Pvt Ltd [12.5%],India,Asia Pacific,IND,22.308371,84.763584,22.81,500.0,1,BF; DRI; EAF,721177173.7528095,9523780056.89265,25,22.29166667,84.79166667,3.434681647283486
P100000120644,Aichi Steel Chita plant (Tokai),Aichi Steel Corp,Aichi Steel Corp [100.0%],Japan,Asia Pacific,JPN,35.044558,136.900772,83.0,1495.0,1,EAF,110186877555.41345,1502462582382.9646,21,35.04166667,136.95833333,5.250101951390875
P100000120163,Angang Group Xinyang Iron and Steel Co Ltd,"Xinyang Iron & Steel Co.,ltd of Angang Group",natural person(s) [65.2%]; Henan PROVINCE HENGCHANG Trading Co Ltd [15.8%]; unknown [10.4%]; Henan State Owned Capital Operation Group Co Ltd [8.6%],China,Asia Pacific,CHN,32.488704,114.038243,55.0,3600.0,1,BF; BOF,382250327.83036226,823121774.5842192,28,32.45833333,114.04166667,3.392306817996281
P100000120089,Angang Lianzhong Stainless Steel Co Ltd,Angang Lianzhong Stainless Steel Corp,Ansteel Group Co Ltd [60.0%]; Lianzhong Co Ltd [18.2%]; power rich Co Ltd [17.4%]; unknown [4.4%],China,Asia Pacific,CHN,23.126822,113.505817,25.0,1900.0,1,EAF,23605391215.706425,860628677784.8787,25,23.125,113.54166667,3.6715770656067908
P100000120219,Angang Steel Co Ltd,Angang Steel Co Ltd,Angang Steel Co Ltd [100.0%],China,Asia Pacific,CHN,41.148267,122.983054,27.43,20650.0,1,BF; BOF; DRI,44422407772.444046,177246047307.24884,30,41.125,122.95833333,3.3135211511349896
P100000120220,Angang Steel Co Ltd Bayuquan branch,Angang Steel Co Ltd,Angang Steel Co Ltd [100.0%],China,Asia Pacific,CHN,40.308494,122.13079,20.0,7500.0,1,BF; BOF,6209926726.154055,22186415085.097157,16,40.29166667,122.125,1.9344707403498838
P100000120070,Anhui Changjiang Steel Co Ltd,Anhui Changjiang Steel Co Ltd,Maanshan Iron & Steel Co Ltd [55.0%]; natural person(s) [37.2%]; unknown [7.8%],China,Asia Pacific,CHN,31.502272,118.465162,23.0,3800.0,1,BF; BOF; EAF,2369022303.7466125,144195323545.10645,30,31.54166667,118.45833333,4.42805617440627
P100000120071,Anhui Guihang Special Steel Co Ltd,Anhui Guihang Special Steel Co Ltd,Anhui Guihang Special Steel Co Ltd [100.0%],China,Asia Pacific,CHN,30.531068,117.251147,15.89,2700.0,1,BF; BOF,189683194.67400867,33326954857.278305,26,30.54166667,117.29166667,4.055698798069162
P100000120391,Anhui Jin an Stainless Steel Casting Co Ltd,Anhui Jin'an Stainless Steel Foundry Co Ltd,Anhui Xinda Steel Development Co Ltd [100.0%],China,Asia Pacific,CHN,31.763956,115.924372,4.0,500.0,1,EAF,413630926.1177371,1767423389.3448305,28,31.79166667,115.95833333,4.449723729811224
